Comunidad;Anyo;Labor;Unidad;Total
Murcia (Región de);2017;CIGARROS;cantidad;53483334
Murcia (Región de);2017;P. LIAR;cantidad;163883
Murcia (Región de);2017;P. PIPA;cantidad;21568
Navarra (Comunidad Foral de);2017;CIGARRILLOS;cantidad;45613370
Navarra (Comunidad Foral de);2017;CIGARROS;cantidad;50387267
Navarra (Comunidad Foral de);2017;P. LIAR;cantidad;114744
Navarra (Comunidad Foral de);2017;P. PIPA;cantidad;6928
País Vasco;2017;CIGARRILLOS;cantidad;115446304
País Vasco;2017;CIGARROS;cantidad;156071085
País Vasco;2017;P. LIAR;cantidad;226164
País Vasco;2017;P. PIPA;cantidad;17462
Rioja (La);2017;CIGARRILLOS;cantidad;15951283
Rioja (La);2017;CIGARROS;cantidad;25546358
Rioja (La);2017;P. LIAR;cantidad;27359
Rioja (La);2017;P. PIPA;cantidad;2902
Andalucía;2016;CIGARRILLOS;euros;1635459886
Andalucía;2016;CIGARROS;euros;64488972
Andalucía;2016;P. LIAR;euros;154907232
Andalucía;2016;P. PIPA;euros;13741820
Aragón;2016;CIGARRILLOS;euros;324676537
Aragón;2016;CIGARROS;euros;18854029
Aragón;2016;P. LIAR;euros;27602264
Aragón;2016;P. PIPA;euros;1112374
Asturias (Principado de);2016;CIGARRILLOS;euros;255768011
Asturias (Principado de);2016;CIGARROS;euros;16874097
Asturias (Principado de);2016;P. LIAR;euros;19722061
Asturias (Principado de);2016;P. PIPA;euros;585180
Balears (Illes);2016;CIGARRILLOS;euros;406329516
Balears (Illes);2016;CIGARROS;euros;15674521
Balears (Illes);2016;P. LIAR;euros;53283780
Balears (Illes);2016;P. PIPA;euros;1457884
Cantabria;2016;CIGARRILLOS;euros;143267148
Cantabria;2016;CIGARROS;euros;10076176
Cantabria;2016;P. LIAR;euros;11414806
Cantabria;2016;P. PIPA;euros;339456
Castilla y León;2016;CIGARRILLOS;euros;560444346
Castilla y León;2016;CIGARROS;euros;39350967
Castilla y León;2016;P. LIAR;euros;44057799
Castilla y León;2016;P. PIPA;euros;2182374
Castilla-La Mancha;2016;CIGARRILLOS;euros;465291557
Castilla-La Mancha;2016;CIGARROS;euros;20386512
Castilla-La Mancha;2016;P. LIAR;euros;41410430
Castilla-La Mancha;2016;P. PIPA;euros;2827927
Cataluña;2016;CIGARRILLOS;euros;1909668330
Cataluña;2016;CIGARROS;euros;92833166
Cataluña;2016;P. LIAR;euros;220146695
Cataluña;2016;P. PIPA;euros;8875443
Comunidad Valenciana;2016;CIGARRILLOS;euros;1245297068
Comunidad Valenciana;2016;CIGARROS;euros;49552413
Comunidad Valenciana;2016;P. LIAR;euros;155369759
Comunidad Valenciana;2016;P. PIPA;euros;7921324
Extremadura;2016;CIGARRILLOS;euros;252443783
Extremadura;2016;CIGARROS;euros;12702099
Extremadura;2016;P. LIAR;euros;20546643
Extremadura;2016;P. PIPA;euros;1422573
Galicia;2016;CIGARRILLOS;euros;584354888
Galicia;2016;CIGARROS;euros;30607619
Galicia;2016;P. LIAR;euros;48060399
Galicia;2016;P. PIPA;euros;1348818
Madrid (Comunidad de);2016;CIGARRILLOS;euros;1333668290
Madrid (Comunidad de);2016;CIGARROS;euros;48975680
Madrid (Comunidad de);2016;P. LIAR;euros;112509210
Madrid (Comunidad de);2016;P. PIPA;euros;4802309
Murcia (Región de);2016;CIGARRILLOS;euros;363594452
Murcia (Región de);2016;CIGARROS;euros;11513161
Murcia (Región de);2016;P. LIAR;euros;29736260
Murcia (Región de);2016;P. PIPA;euros;1453851
Navarra (Comunidad Foral de);2016;CIGARRILLOS;euros;214145523
Navarra (Comunidad Foral de);2016;CIGARROS;euros;13172135
Navarra (Comunidad Foral de);2016;P. LIAR;euros;19188264
Navarra (Comunidad Foral de);2016;P. PIPA;euros;447863
País Vasco;2016;CIGARRILLOS;euros;543102855
País Vasco;2016;CIGARROS;euros;44409781
País Vasco;2016;P. LIAR;euros;37880495
País Vasco;2016;P. PIPA;euros;1039490
Rioja (La);2016;CIGARRILLOS;euros;73665141
Rioja (La);2016;CIGARROS;euros;6814936
Rioja (La);2016;P. LIAR;euros;4901083
Rioja (La);2016;P. PIPA;euros;230200
Andalucía;2014;CIGARRILLOS;euros;1546160371
Andalucía;2014;CIGARROS;euros;65841194
Andalucía;2014;P. LIAR;euros;159363981
Andalucía;2014;P. PIPA;euros;13964454
Aragón;2014;CIGARRILLOS;euros;324712563
Aragón;2014;CIGARROS;euros;20176355
Aragón;2014;P. LIAR;euros;30125628
Aragón;2014;P. PIPA;euros;1222180
Asturias (Principado de);2014;CIGARRILLOS;euros;257763686
Asturias (Principado de);2014;CIGARROS;euros;17979579
Asturias (Principado de);2014;P. LIAR;euros;20439309
Asturias (Principado de);2014;P. PIPA;euros;519997
Balears (Illes);2014;CIGARRILLOS;euros;385113675
Balears (Illes);2014;CIGARROS;euros;15727857
Balears (Illes);2014;P. LIAR;euros;48489822
Balears (Illes);2014;P. PIPA;euros;1231927
Cantabria;2014;CIGARRILLOS;euros;143905545
Cantabria;2014;CIGARROS;euros;10902226
Cantabria;2014;P. LIAR;euros;11586834
Cantabria;2014;P. PIPA;euros;345302
Castilla y León;2014;CIGARRILLOS;euros;554458853
Castilla y León;2014;CIGARROS;euros;40581156
Castilla y León;2014;P. LIAR;euros;47243946
Castilla y León;2014;P. PIPA;euros;2661355
Castilla-La Mancha;2014;CIGARRILLOS;euros;475109434
Castilla-La Mancha;2014;CIGARROS;euros;22571821
Castilla-La Mancha;2014;P. LIAR;euros;51947395
Castilla-La Mancha;2014;P. PIPA;euros;4177036
Cataluña;2014;CIGARRILLOS;euros;1914891248
Cataluña;2014;CIGARROS;euros;94553948
Cataluña;2014;P. LIAR;euros;216228455
Cataluña;2014;P. PIPA;euros;7164931
Comunidad Valenciana;2014;CIGARRILLOS;euros;1225746520
Comunidad Valenciana;2014;CIGARROS;euros;51430475
Comunidad Valenciana;2014;P. LIAR;euros;161585603
Comunidad Valenciana;2014;P. PIPA;euros;9874773
Extremadura;2014;CIGARRILLOS;euros;264107007
Extremadura;2014;CIGARROS;euros;14562173
Extremadura;2014;P. LIAR;euros;27096427
Extremadura;2014;P. PIPA;euros;2324317
Galicia;2014;CIGARRILLOS;euros;580149119
Galicia;2014;CIGARROS;euros;32292517
Galicia;2014;P. LIAR;euros;48524348
Galicia;2014;P. PIPA;euros;1193453
Madrid (Comunidad de);2014;CIGARRILLOS;euros;1357184752
Madrid (Comunidad de);2014;CIGARROS;euros;48082698
Madrid (Comunidad de);2014;P. LIAR;euros;121245019
Madrid (Comunidad de);2014;P. PIPA;euros;4109456
Murcia (Región de);2014;CIGARRILLOS;euros;360263132
Murcia (Región de);2014;CIGARROS;euros;12384695
Murcia (Región de);2014;P. LIAR;euros;37825537
Murcia (Región de);2014;P. PIPA;euros;2559131
Navarra (Comunidad Foral de);2014;CIGARRILLOS;euros;217153663
Navarra (Comunidad Foral de);2014;CIGARROS;euros;14147195
Navarra (Comunidad Foral de);2014;P. LIAR;euros;19477043
Navarra (Comunidad Foral de);2014;P. PIPA;euros;384547
País Vasco;2014;CIGARRILLOS;euros;557397276
País Vasco;2014;CIGARROS;euros;47108566
País Vasco;2014;P. LIAR;euros;37913362
País Vasco;2014;P. PIPA;euros;828198
Rioja (La);2014;CIGARRILLOS;euros;72841627
Rioja (La);2014;CIGARROS;euros;7066647
Rioja (La);2014;P. LIAR;euros;5173010
Rioja (La);2014;P. PIPA;euros;286863
Andalucía;2014;CIGARRILLOS;cantidad;353016261
Andalucía;2014;CIGARROS;cantidad;337940882
Andalucía;2014;P. LIAR;cantidad;949858
Andalucía;2014;P. PIPA;cantidad;187016
Aragón;2014;CIGARRILLOS;cantidad;74514077
Aragón;2014;CIGARROS;cantidad;99247637
Aragón;2014;P. LIAR;cantidad;179943
Aragón;2014;P. PIPA;cantidad;15136
Asturias (Principado de);2014;CIGARRILLOS;cantidad;58948282
Asturias (Principado de);2014;CIGARROS;cantidad;86695438
Asturias (Principado de);2014;P. LIAR;cantidad;122063
Asturias (Principado de);2014;P. PIPA;cantidad;6336
Balears (Illes);2014;CIGARRILLOS;cantidad;87071235
Balears (Illes);2014;CIGARROS;cantidad;57017082
Balears (Illes);2014;P. LIAR;cantidad;286796
Balears (Illes);2014;P. PIPA;cantidad;15773
Cantabria;2014;CIGARRILLOS;cantidad;32728786
Cantabria;2014;CIGARROS;cantidad;51845477
Cantabria;2014;P. LIAR;cantidad;69014
Cantabria;2014;P. PIPA;cantidad;4267
Castilla y León;2014;CIGARRILLOS;cantidad;126509841
Castilla y León;2014;CIGARROS;cantidad;176493935
Castilla y León;2014;P. LIAR;cantidad;282075
Castilla y León;2014;P. PIPA;cantidad;32682
