Comunidad;Anyo;Labor;Unidad;Total
Castilla y León;2008;P. PIPA;euros;282077
Castilla-La Mancha;2008;CIGARRILLOS;euros;516753053
Castilla-La Mancha;2008;CIGARROS;euros;16941501
Castilla-La Mancha;2008;P. LIAR;euros;1595169
Castilla-La Mancha;2008;P. PIPA;euros;134672
Cataluña;2008;CIGARRILLOS;euros;2202506168
Cataluña;2008;CIGARROS;euros;90475975
Cataluña;2008;P. LIAR;euros;67010537
Cataluña;2008;P. PIPA;euros;2438442
Comunidad Valenciana;2008;CIGARRILLOS;euros;1465668209
Comunidad Valenciana;2008;CIGARROS;euros;35521137
Comunidad Valenciana;2008;P. LIAR;euros;70337179
Comunidad Valenciana;2008;P. PIPA;euros;1232182
Extremadura;2008;CIGARRILLOS;euros;280783861
Extremadura;2008;CIGARROS;euros;8448660
Extremadura;2008;P. LIAR;euros;1184264
Extremadura;2008;P. PIPA;euros;89555
Galicia;2008;CIGARRILLOS;euros;581979940
Galicia;2008;CIGARROS;euros;21384379
Galicia;2008;P. LIAR;euros;3598561
Galicia;2008;P. PIPA;euros;239368
Madrid (Comunidad de);2008;CIGARRILLOS;euros;1401596799
Madrid (Comunidad de);2008;CIGARROS;euros;45723687
Madrid (Comunidad de);2008;P. LIAR;euros;6446449
Madrid (Comunidad de);2008;P. PIPA;euros;1029778
Murcia (Región de);2008;CIGARRILLOS;euros;393666493
Murcia (Región de);2008;CIGARROS;euros;10724385
Murcia (Región de);2008;P. LIAR;euros;5769342
Murcia (Región de);2008;P. PIPA;euros;185391
Navarra (Comunidad Foral de);2008;CIGARRILLOS;euros;228091185
Navarra (Comunidad Foral de);2008;CIGARROS;euros;15242493
Navarra (Comunidad Foral de);2008;P. LIAR;euros;5959748
Navarra (Comunidad Foral de);2008;P. PIPA;euros;206320
País Vasco;2008;CIGARRILLOS;euros;592665498
País Vasco;2008;CIGARROS;euros;49759017
País Vasco;2008;P. LIAR;euros;12494397
País Vasco;2008;P. PIPA;euros;394067
Rioja (La);2008;CIGARRILLOS;euros;71936712
Rioja (La);2008;CIGARROS;euros;6969730
Rioja (La);2008;P. LIAR;euros;281840
Rioja (La);2008;P. PIPA;euros;25260
Andalucía;2008;CIGARRILLOS;cantidad;820713638
Andalucía;2008;CIGARROS;cantidad;129118856
Andalucía;2008;P. LIAR;cantidad;13176690
Andalucía;2008;P. PIPA;cantidad;425484
Aragón;2008;CIGARRILLOS;cantidad;136572190
Aragón;2008;CIGARROS;cantidad;42766234
Aragón;2008;P. LIAR;cantidad;1152506
Aragón;2008;P. PIPA;cantidad;58962
Asturias (Principado de);2008;CIGARRILLOS;cantidad;101369798
Asturias (Principado de);2008;CIGARROS;cantidad;37387896
Asturias (Principado de);2008;P. LIAR;cantidad;423744
Asturias (Principado de);2008;P. PIPA;cantidad;45867
Balears (Illes);2008;CIGARRILLOS;cantidad;172302011
Balears (Illes);2008;CIGARROS;cantidad;28993033
Balears (Illes);2008;P. LIAR;cantidad;10514803
Balears (Illes);2008;P. PIPA;cantidad;205679
Cantabria;2008;CIGARRILLOS;cantidad;57314259
Cantabria;2008;CIGARROS;cantidad;20914398
Cantabria;2008;P. LIAR;cantidad;574667
Cantabria;2008;P. PIPA;cantidad;20888
Castilla y León;2008;CIGARRILLOS;cantidad;232342698
Castilla y León;2008;CIGARROS;cantidad;97101188
Castilla y León;2008;P. LIAR;cantidad;1193518
Castilla y León;2008;P. PIPA;cantidad;93419
Castilla-La Mancha;2008;CIGARRILLOS;cantidad;200716578
Castilla-La Mancha;2008;CIGARROS;cantidad;46433545
Castilla-La Mancha;2008;P. LIAR;cantidad;779805
Castilla-La Mancha;2008;P. PIPA;cantidad;47841
Cataluña;2008;CIGARRILLOS;cantidad;848745584
Cataluña;2008;CIGARROS;cantidad;235148464
Cataluña;2008;P. LIAR;cantidad;23412303
Cataluña;2008;P. PIPA;cantidad;807700
Comunidad Valenciana;2008;CIGARRILLOS;cantidad;568499279
Comunidad Valenciana;2008;CIGARROS;cantidad;95945671
Comunidad Valenciana;2008;P. LIAR;cantidad;22863044
Comunidad Valenciana;2008;P. PIPA;cantidad;353519
Extremadura;2008;CIGARRILLOS;cantidad;110932112
Extremadura;2008;CIGARROS;cantidad;28420483
Extremadura;2008;P. LIAR;cantidad;580348
Extremadura;2008;P. PIPA;cantidad;27293
Galicia;2008;CIGARRILLOS;cantidad;226618601
Galicia;2008;CIGARROS;cantidad;58858379
Galicia;2008;P. LIAR;cantidad;1585617
Galicia;2008;P. PIPA;cantidad;72264
Madrid (Comunidad de);2008;CIGARRILLOS;cantidad;540240837
Madrid (Comunidad de);2008;CIGARROS;cantidad;99101735
Madrid (Comunidad de);2008;P. LIAR;cantidad;2840727
Madrid (Comunidad de);2008;P. PIPA;cantidad;335549
Murcia (Región de);2008;CIGARRILLOS;cantidad;150003535
Murcia (Región de);2008;CIGARROS;cantidad;24214629
Murcia (Región de);2008;P. LIAR;cantidad;1948792
Murcia (Región de);2008;P. PIPA;cantidad;55946
Navarra (Comunidad Foral de);2008;CIGARRILLOS;cantidad;89725633
Navarra (Comunidad Foral de);2008;CIGARROS;cantidad;41039778
Navarra (Comunidad Foral de);2008;P. LIAR;cantidad;2352936
Navarra (Comunidad Foral de);2008;P. PIPA;cantidad;72770
País Vasco;2008;CIGARRILLOS;cantidad;230469404
País Vasco;2008;CIGARROS;cantidad;126486322
País Vasco;2008;P. LIAR;cantidad;4665770
País Vasco;2008;P. PIPA;cantidad;130330
Rioja (La);2008;CIGARRILLOS;cantidad;27875188
Rioja (La);2008;CIGARROS;cantidad;16788446
Rioja (La);2008;P. LIAR;cantidad;116226
Rioja (La);2008;P. PIPA;cantidad;7625
Andalucía;2007;CIGARRILLOS;euros;2030293426
Andalucía;2007;CIGARROS;euros;44494809
Andalucía;2007;P. LIAR;euros;32380779
Andalucía;2007;P. PIPA;euros;1286419
Aragón;2007;CIGARRILLOS;euros;328625003
Aragón;2007;CIGARROS;euros;16195429
Aragón;2007;P. LIAR;euros;2032212
Aragón;2007;P. PIPA;euros;182094
Asturias (Principado de);2007;CIGARRILLOS;euros;241830226
Asturias (Principado de);2007;CIGARROS;euros;13451853
Asturias (Principado de);2007;P. LIAR;euros;740649
Asturias (Principado de);2007;P. PIPA;euros;151791
Balears (Illes);2007;CIGARRILLOS;euros;463144294
Balears (Illes);2007;CIGARROS;euros;14314257
Balears (Illes);2007;P. LIAR;euros;30570695
Balears (Illes);2007;P. PIPA;euros;784015
Cantabria;2007;CIGARRILLOS;euros;141623887
Cantabria;2007;CIGARROS;euros;8460796
Cantabria;2007;P. LIAR;euros;1876164
Cantabria;2007;P. PIPA;euros;75751
Castilla y León;2007;CIGARRILLOS;euros;548278546
Castilla y León;2007;CIGARROS;euros;36742601
Castilla y León;2007;P. LIAR;euros;1856149
Castilla y León;2007;P. PIPA;euros;267431
Castilla-La Mancha;2007;CIGARRILLOS;euros;479598931
Castilla-La Mancha;2007;CIGARROS;euros;17690106
Castilla-La Mancha;2007;P. LIAR;euros;961615
Castilla-La Mancha;2007;P. PIPA;euros;114656
Cataluña;2007;CIGARRILLOS;euros;2122352881
Cataluña;2007;CIGARROS;euros;91902671
Cataluña;2007;P. LIAR;euros;54634353
Cataluña;2007;P. PIPA;euros;2327751
Comunidad Valenciana;2007;CIGARRILLOS;euros;1424603797
Comunidad Valenciana;2007;CIGARROS;euros;37646566
Comunidad Valenciana;2007;P. LIAR;euros;56478457
Comunidad Valenciana;2007;P. PIPA;euros;1298022
Extremadura;2007;CIGARRILLOS;euros;260379498
Extremadura;2007;CIGARROS;euros;8634769
Extremadura;2007;P. LIAR;euros;712927
Extremadura;2007;P. PIPA;euros;77083
Galicia;2007;CIGARRILLOS;euros;544618633
Galicia;2007;CIGARROS;euros;21685890
Galicia;2007;P. LIAR;euros;2904138
Galicia;2007;P. PIPA;euros;238408
Madrid (Comunidad de);2007;CIGARRILLOS;euros;1327667109
Madrid (Comunidad de);2007;CIGARROS;euros;47809206
Madrid (Comunidad de);2007;P. LIAR;euros;4691641
Madrid (Comunidad de);2007;P. PIPA;euros;957469
Murcia (Región de);2007;CIGARRILLOS;euros;386451304
Murcia (Región de);2007;CIGARROS;euros;11300158
Murcia (Región de);2007;P. LIAR;euros;4561238
Murcia (Región de);2007;P. PIPA;euros;179133
Navarra (Comunidad Foral de);2007;CIGARRILLOS;euros;217683543
Navarra (Comunidad Foral de);2007;CIGARROS;euros;14959317
Navarra (Comunidad Foral de);2007;P. LIAR;euros;4796459
Navarra (Comunidad Foral de);2007;P. PIPA;euros;206163
País Vasco;2007;CIGARRILLOS;euros;564874459
País Vasco;2007;CIGARROS;euros;51364735
País Vasco;2007;P. LIAR;euros;10003170
País Vasco;2007;P. PIPA;euros;387542
Rioja (La);2007;CIGARRILLOS;euros;65573938
Rioja (La);2007;CIGARROS;euros;7127365
Rioja (La);2007;P. LIAR;euros;241342
Rioja (La);2007;P. PIPA;euros;26620
Andalucía;2007;CIGARRILLOS;cantidad;812241737
Andalucía;2007;CIGARROS;cantidad;124729728
Andalucía;2007;P. LIAR;cantidad;9401989
Andalucía;2007;P. PIPA;cantidad;357048
Aragón;2007;CIGARRILLOS;cantidad;132182981
Aragón;2007;CIGARROS;cantidad;42184830
Aragón;2007;P. LIAR;cantidad;840723
Aragón;2007;P. PIPA;cantidad;54329
Asturias (Principado de);2007;CIGARRILLOS;cantidad;97775754
Asturias (Principado de);2007;CIGARROS;cantidad;35809709
Asturias (Principado de);2007;P. LIAR;cantidad;307649
Asturias (Principado de);2007;P. PIPA;cantidad;44588
Balears (Illes);2007;CIGARRILLOS;cantidad;178996010
Balears (Illes);2007;CIGARROS;cantidad;30548180
Balears (Illes);2007;P. LIAR;cantidad;8551693
Balears (Illes);2007;P. PIPA;cantidad;201177
Cantabria;2007;CIGARRILLOS;cantidad;56449793
Cantabria;2007;CIGARROS;cantidad;20785075
Cantabria;2007;P. LIAR;cantidad;600008
Cantabria;2007;P. PIPA;cantidad;22567
Castilla y León;2007;CIGARRILLOS;cantidad;220614962
Castilla y León;2007;CIGARROS;cantidad;96069290
Castilla y León;2007;P. LIAR;cantidad;805639
Castilla y León;2007;P. PIPA;cantidad;80368
Castilla-La Mancha;2007;CIGARRILLOS;cantidad;192958208
Castilla-La Mancha;2007;CIGARROS;cantidad;45443242
Castilla-La Mancha;2007;P. LIAR;cantidad;439488
Castilla-La Mancha;2007;P. PIPA;cantidad;35255
Cataluña;2007;CIGARRILLOS;cantidad;844082171
Cataluña;2007;CIGARROS;cantidad;226551083
Cataluña;2007;P. LIAR;cantidad;17698099
Cataluña;2007;P. PIPA;cantidad;705341
Comunidad Valenciana;2007;CIGARRILLOS;cantidad;568852373
Comunidad Valenciana;2007;CIGARROS;cantidad;93539209
Comunidad Valenciana;2007;P. LIAR;cantidad;16051466
Comunidad Valenciana;2007;P. PIPA;cantidad;359986
Extremadura;2007;CIGARRILLOS;cantidad;106838544
Extremadura;2007;CIGARROS;cantidad;26925502
Extremadura;2007;P. LIAR;cantidad;312488
Extremadura;2007;P. PIPA;cantidad;23775
Galicia;2007;CIGARRILLOS;cantidad;219972219
Galicia;2007;CIGARROS;cantidad;57173246
Galicia;2007;P. LIAR;cantidad;1150204
Galicia;2007;P. PIPA;cantidad;69668
Madrid (Comunidad de);2007;CIGARRILLOS;cantidad;529755032
Madrid (Comunidad de);2007;CIGARROS;cantidad;98822638
Madrid (Comunidad de);2007;P. LIAR;cantidad;1859987
Madrid (Comunidad de);2007;P. PIPA;cantidad;276209
Murcia (Región de);2007;CIGARRILLOS;cantidad;151787393
Murcia (Región de);2007;CIGARROS;cantidad;23042159
Murcia (Región de);2007;P. LIAR;cantidad;1306100
Murcia (Región de);2007;P. PIPA;cantidad;50579
Navarra (Comunidad Foral de);2007;CIGARRILLOS;cantidad;88608344
Navarra (Comunidad Foral de);2007;CIGARROS;cantidad;39528422
Navarra (Comunidad Foral de);2007;P. LIAR;cantidad;1879981
Navarra (Comunidad Foral de);2007;P. PIPA;cantidad;68203
País Vasco;2007;CIGARRILLOS;cantidad;227715567
País Vasco;2007;CIGARROS;cantidad;124985102
País Vasco;2007;P. LIAR;cantidad;3679360
País Vasco;2007;P. PIPA;cantidad;122590
Rioja (La);2007;CIGARRILLOS;cantidad;26307156
Rioja (La);2007;CIGARROS;cantidad;16355320
Rioja (La);2007;P. LIAR;cantidad;85120
Rioja (La);2007;P. PIPA;cantidad;7855
Andalucía;2006;CIGARRILLOS;euros;1848955654
Andalucía;2006;CIGARROS;euros;42314350
Andalucía;2006;P. LIAR;euros;29173338
Andalucía;2006;P. PIPA;euros;1254925
Aragón;2006;CIGARRILLOS;euros;291323568
Aragón;2006;CIGARROS;euros;15284478
Aragón;2006;P. LIAR;euros;1717193
Aragón;2006;P. PIPA;euros;160826
Asturias (Principado de);2006;CIGARRILLOS;euros;218879000
Asturias (Principado de);2006;CIGARROS;euros;12892697
Asturias (Principado de);2006;P. LIAR;euros;632408
Asturias (Principado de);2006;P. PIPA;euros;139014
Balears (Illes);2006;CIGARRILLOS;euros;428918667
Balears (Illes);2006;CIGARROS;euros;13748212
Balears (Illes);2006;P. LIAR;euros;27636369
Balears (Illes);2006;P. PIPA;euros;790915
Cantabria;2006;CIGARRILLOS;euros;128837542
Cantabria;2006;CIGARROS;euros;7839477
Cantabria;2006;P. LIAR;euros;1439247
Cantabria;2006;P. PIPA;euros;78206
Castilla y León;2006;CIGARRILLOS;euros;507741451
Castilla y León;2006;CIGARROS;euros;34987596
Castilla y León;2006;P. LIAR;euros;1422046
Castilla y León;2006;P. PIPA;euros;237517
Castilla-La Mancha;2006;CIGARRILLOS;euros;422410684
Castilla-La Mancha;2006;CIGARROS;euros;16428482
Castilla-La Mancha;2006;P. LIAR;euros;692666
Castilla-La Mancha;2006;P. PIPA;euros;100839
Cataluña;2006;CIGARRILLOS;euros;1944695713
Cataluña;2006;CIGARROS;euros;88398218
Cataluña;2006;P. LIAR;euros;44926551
Cataluña;2006;P. PIPA;euros;2089695
Comunidad Valenciana;2006;CIGARRILLOS;euros;1283103818
Comunidad Valenciana;2006;CIGARROS;euros;36269721
Comunidad Valenciana;2006;P. LIAR;euros;48902159
Comunidad Valenciana;2006;P. PIPA;euros;1220962
Extremadura;2006;CIGARRILLOS;euros;232377647
Extremadura;2006;CIGARROS;euros;8371335
Extremadura;2006;P. LIAR;euros;526602
Extremadura;2006;P. PIPA;euros;68366
Galicia;2006;CIGARRILLOS;euros;499638065
Galicia;2006;CIGARROS;euros;20558022
Galicia;2006;P. LIAR;euros;2236154
Galicia;2006;P. PIPA;euros;221472
Madrid (Comunidad de);2006;CIGARRILLOS;euros;1197214045
Madrid (Comunidad de);2006;CIGARROS;euros;44445681
Madrid (Comunidad de);2006;P. LIAR;euros;3584897
Madrid (Comunidad de);2006;P. PIPA;euros;893931
Murcia (Región de);2006;CIGARRILLOS;euros;342376319
Murcia (Región de);2006;CIGARROS;euros;10578683
Murcia (Región de);2006;P. LIAR;euros;3835343
Murcia (Región de);2006;P. PIPA;euros;162554
Navarra (Comunidad Foral de);2006;CIGARRILLOS;euros;205094502
Navarra (Comunidad Foral de);2006;CIGARROS;euros;14062892
Navarra (Comunidad Foral de);2006;P. LIAR;euros;4259244
Navarra (Comunidad Foral de);2006;P. PIPA;euros;175349
País Vasco;2006;CIGARRILLOS;euros;540529513
País Vasco;2006;CIGARROS;euros;49998914
País Vasco;2006;P. LIAR;euros;9090978
País Vasco;2006;P. PIPA;euros;370743
Rioja (La);2006;CIGARRILLOS;euros;61691851
Rioja (La);2006;CIGARROS;euros;6533774
Rioja (La);2006;P. LIAR;euros;144448
Rioja (La);2006;P. PIPA;euros;22075
Andalucía;2006;CIGARRILLOS;cantidad;822519900
Andalucía;2006;CIGARROS;cantidad;112830464
Andalucía;2006;P. LIAR;cantidad;8311533
Andalucía;2006;P. PIPA;cantidad;351519
Aragón;2006;CIGARRILLOS;cantidad;130738747
Aragón;2006;CIGARROS;cantidad;38699659
Aragón;2006;P. LIAR;cantidad;693730
Aragón;2006;P. PIPA;cantidad;48669
Asturias (Principado de);2006;CIGARRILLOS;cantidad;98552435
Asturias (Principado de);2006;CIGARROS;cantidad;33478824
Asturias (Principado de);2006;P. LIAR;cantidad;256239
Asturias (Principado de);2006;P. PIPA;cantidad;42599
Balears (Illes);2006;CIGARRILLOS;cantidad;177794843
Balears (Illes);2006;CIGARROS;cantidad;29275012
Balears (Illes);2006;P. LIAR;cantidad;7746777
Balears (Illes);2006;P. PIPA;cantidad;201182
Cantabria;2006;CIGARRILLOS;cantidad;56789904
Cantabria;2006;CIGARROS;cantidad;19535377
Cantabria;2006;P. LIAR;cantidad;458109
Cantabria;2006;P. PIPA;cantidad;23205
Castilla y León;2006;CIGARRILLOS;cantidad;227433669
Castilla y León;2006;CIGARROS;cantidad;90955876
Castilla y León;2006;P. LIAR;cantidad;604466
Castilla y León;2006;P. PIPA;cantidad;70818
Castilla-La Mancha;2006;CIGARRILLOS;cantidad;189133876
Castilla-La Mancha;2006;CIGARROS;cantidad;41393079
Castilla-La Mancha;2006;P. LIAR;cantidad;315142
Castilla-La Mancha;2006;P. PIPA;cantidad;30771
Cataluña;2006;CIGARRILLOS;cantidad;858458054
Cataluña;2006;CIGARROS;cantidad;218271557
Cataluña;2006;P. LIAR;cantidad;14533922
Cataluña;2006;P. PIPA;cantidad;624582
Comunidad Valenciana;2006;CIGARRILLOS;cantidad;565771618
Comunidad Valenciana;2006;CIGARROS;cantidad;87167383
Comunidad Valenciana;2006;P. LIAR;cantidad;13867600
Comunidad Valenciana;2006;P. PIPA;cantidad;336763
Extremadura;2006;CIGARRILLOS;cantidad;106843233
Extremadura;2006;CIGARROS;cantidad;24346894
Extremadura;2006;P. LIAR;cantidad;223142
Extremadura;2006;P. PIPA;cantidad;20791
Galicia;2006;CIGARRILLOS;cantidad;226390797
Galicia;2006;CIGARROS;cantidad;53577254
Galicia;2006;P. LIAR;cantidad;894863
Galicia;2006;P. PIPA;cantidad;66061
Madrid (Comunidad de);2006;CIGARRILLOS;cantidad;532496906
Madrid (Comunidad de);2006;CIGARROS;cantidad;90132937
Madrid (Comunidad de);2006;P. LIAR;cantidad;1397159
Madrid (Comunidad de);2006;P. PIPA;cantidad;257926
Murcia (Región de);2006;CIGARRILLOS;cantidad;148154197
Murcia (Región de);2006;CIGARROS;cantidad;21038070
Murcia (Región de);2006;P. LIAR;cantidad;1092933
Murcia (Región de);2006;P. PIPA;cantidad;46927
Navarra (Comunidad Foral de);2006;CIGARRILLOS;cantidad;93799971
Navarra (Comunidad Foral de);2006;CIGARROS;cantidad;38388310
Navarra (Comunidad Foral de);2006;P. LIAR;cantidad;1704564
Navarra (Comunidad Foral de);2006;P. PIPA;cantidad;60529
País Vasco;2006;CIGARRILLOS;cantidad;242584723
País Vasco;2006;CIGARROS;cantidad;121330059
País Vasco;2006;P. LIAR;cantidad;3294751
País Vasco;2006;P. PIPA;cantidad;114960
Rioja (La);2006;CIGARRILLOS;cantidad;27415950
Rioja (La);2006;CIGARROS;cantidad;15068973
Rioja (La);2006;P. LIAR;cantidad;53189
Rioja (La);2006;P. PIPA;cantidad;6328
Andalucía;2005;CIGARRILLOS;euros;1852650908
Andalucía;2005;CIGARROS;euros;46164613
Andalucía;2005;P. LIAR;euros;29269013
Andalucía;2005;P. PIPA;euros;1292607
Aragón;2005;CIGARRILLOS;euros;292564291
Aragón;2005;CIGARROS;euros;16420646
Aragón;2005;P. LIAR;euros;1736310
Aragón;2005;P. PIPA;euros;177283
Asturias (Principado de);2005;CIGARRILLOS;euros;222053162
Asturias (Principado de);2005;CIGARROS;euros;12571923
Asturias (Principado de);2005;P. LIAR;euros;592613
Asturias (Principado de);2005;P. PIPA;euros;141698
Balears (Illes);2005;CIGARRILLOS;euros;459611933
Balears (Illes);2005;CIGARROS;euros;15489125
Balears (Illes);2005;P. LIAR;euros;31317957
Balears (Illes);2005;P. PIPA;euros;840215
Cantabria;2005;CIGARRILLOS;euros;131080464
Cantabria;2005;CIGARROS;euros;7837596
Cantabria;2005;P. LIAR;euros;1419449
Cantabria;2005;P. PIPA;euros;76840
Castilla y León;2005;CIGARRILLOS;euros;500879689
Castilla y León;2005;CIGARROS;euros;36029268
Castilla y León;2005;P. LIAR;euros;1317760
Castilla y León;2005;P. PIPA;euros;232181
Castilla-La Mancha;2005;CIGARRILLOS;euros;412210816
Castilla-La Mancha;2005;CIGARROS;euros;17903660
Castilla-La Mancha;2005;P. LIAR;euros;624457
Castilla-La Mancha;2005;P. PIPA;euros;98656
Cataluña;2005;CIGARRILLOS;euros;1978556067
Cataluña;2005;CIGARROS;euros;99803049
Cataluña;2005;P. LIAR;euros;43682842
Cataluña;2005;P. PIPA;euros;2074048
Comunidad Valenciana;2005;CIGARRILLOS;euros;1301947801
Comunidad Valenciana;2005;CIGARROS;euros;41298260
Comunidad Valenciana;2005;P. LIAR;euros;49777138
Comunidad Valenciana;2005;P. PIPA;euros;1276412
Extremadura;2005;CIGARRILLOS;euros;225452183
Extremadura;2005;CIGARROS;euros;8713397
Extremadura;2005;P. LIAR;euros;398167
Extremadura;2005;P. PIPA;euros;61636
Galicia;2005;CIGARRILLOS;euros;492954807
Galicia;2005;CIGARROS;euros;21239639
Galicia;2005;P. LIAR;euros;1890347
Galicia;2005;P. PIPA;euros;225130
Madrid (Comunidad de);2005;CIGARRILLOS;euros;1216690445
Madrid (Comunidad de);2005;CIGARROS;euros;47596771
Madrid (Comunidad de);2005;P. LIAR;euros;3872509
Madrid (Comunidad de);2005;P. PIPA;euros;899944
Murcia (Región de);2005;CIGARRILLOS;euros;339162148
Murcia (Región de);2005;CIGARROS;euros;11394365
Murcia (Región de);2005;P. LIAR;euros;3879220
Murcia (Región de);2005;P. PIPA;euros;158088
Navarra (Comunidad Foral de);2005;CIGARRILLOS;euros;201861117
Navarra (Comunidad Foral de);2005;CIGARROS;euros;15944847
Navarra (Comunidad Foral de);2005;P. LIAR;euros;3886099
Navarra (Comunidad Foral de);2005;P. PIPA;euros;185788
País Vasco;2005;CIGARRILLOS;euros;555787201
País Vasco;2005;CIGARROS;euros;52251148
País Vasco;2005;P. LIAR;euros;8743722
País Vasco;2005;P. PIPA;euros;346414
Rioja (La);2005;CIGARRILLOS;euros;60179335
Rioja (La);2005;CIGARROS;euros;6576781
Rioja (La);2005;P. LIAR;euros;118956
Rioja (La);2005;P. PIPA;euros;20450
Andalucía;2005;CIGARRILLOS;cantidad;843452099
Andalucía;2005;CIGARROS;cantidad;122060004
Andalucía;2005;P. LIAR;cantidad;8757982
Andalucía;2005;P. PIPA;cantidad;382762
Aragón;2005;CIGARRILLOS;cantidad;133722689
Aragón;2005;CIGARROS;cantidad;41527581
Aragón;2005;P. LIAR;cantidad;722168
Aragón;2005;P. PIPA;cantidad;55778
Asturias (Principado de);2005;CIGARRILLOS;cantidad;100973643
Asturias (Principado de);2005;CIGARROS;cantidad;32650196
Asturias (Principado de);2005;P. LIAR;cantidad;249857
Asturias (Principado de);2005;P. PIPA;cantidad;45076
Balears (Illes);2005;CIGARRILLOS;cantidad;196156006
Balears (Illes);2005;CIGARROS;cantidad;34226955
Balears (Illes);2005;P. LIAR;cantidad;9396511
Balears (Illes);2005;P. PIPA;cantidad;230483
Cantabria;2005;CIGARRILLOS;cantidad;57991713
Cantabria;2005;CIGARROS;cantidad;19815815
Cantabria;2005;P. LIAR;cantidad;459811
Cantabria;2005;P. PIPA;cantidad;23966
Castilla y León;2005;CIGARRILLOS;cantidad;226070185
Castilla y León;2005;CIGARROS;cantidad;93131759
Castilla y León;2005;P. LIAR;cantidad;555923
Castilla y León;2005;P. PIPA;cantidad;72440
Castilla-La Mancha;2005;CIGARRILLOS;cantidad;189396515
Castilla-La Mancha;2005;CIGARROS;cantidad;44293567
Castilla-La Mancha;2005;P. LIAR;cantidad;288298
Castilla-La Mancha;2005;P. PIPA;cantidad;31663
Cataluña;2005;CIGARRILLOS;cantidad;888711122
Cataluña;2005;CIGARROS;cantidad;246646775
Cataluña;2005;P. LIAR;cantidad;14487050
Cataluña;2005;P. PIPA;cantidad;647968
Comunidad Valenciana;2005;CIGARRILLOS;cantidad;589510066
Comunidad Valenciana;2005;CIGARROS;cantidad;96290872
Comunidad Valenciana;2005;P. LIAR;cantidad;15033216
Comunidad Valenciana;2005;P. PIPA;cantidad;369402
Extremadura;2005;CIGARRILLOS;cantidad;107300064
Extremadura;2005;CIGARROS;cantidad;24397418
Extremadura;2005;P. LIAR;cantidad;174339
Extremadura;2005;P. PIPA;cantidad;19970
Galicia;2005;CIGARRILLOS;cantidad;226899084
Galicia;2005;CIGARROS;cantidad;53222036
Galicia;2005;P. LIAR;cantidad;806840
Galicia;2005;P. PIPA;cantidad;69765
Madrid (Comunidad de);2005;CIGARRILLOS;cantidad;547698059
Madrid (Comunidad de);2005;CIGARROS;cantidad;97162259
Madrid (Comunidad de);2005;P. LIAR;cantidad;1438271
Madrid (Comunidad de);2005;P. PIPA;cantidad;274542
Murcia (Región de);2005;CIGARRILLOS;cantidad;149028405
Murcia (Región de);2005;CIGARROS;cantidad;22883251
Murcia (Región de);2005;P. LIAR;cantidad;1172018
Murcia (Región de);2005;P. PIPA;cantidad;48096
Navarra (Comunidad Foral de);2005;CIGARRILLOS;cantidad;95494852
Navarra (Comunidad Foral de);2005;CIGARROS;cantidad;44171782
Navarra (Comunidad Foral de);2005;P. LIAR;cantidad;1590097
Navarra (Comunidad Foral de);2005;P. PIPA;cantidad;65540
País Vasco;2005;CIGARRILLOS;cantidad;255634992
País Vasco;2005;CIGARROS;cantidad;130926613
País Vasco;2005;P. LIAR;cantidad;3187236
País Vasco;2005;P. PIPA;cantidad;111742
Rioja (La);2005;CIGARRILLOS;cantidad;26937319
Rioja (La);2005;CIGARROS;cantidad;15542955
Rioja (La);2005;P. LIAR;cantidad;46722
Rioja (La);2005;P. PIPA;cantidad;6151
