Comunidad;Año;Labor;Totales;Unidades
Comunidad Valenciana;2018;CIGARRILLOS;276757572;unidades
Comunidad Valenciana;2018;CIGARROS;244501896;unidades
Comunidad Valenciana;2018;P. LIAR;899064;unidades
Comunidad Valenciana;2018;P. PIPA;128589;unidades
Extremadura;2018;CIGARRILLOS;53298122;unidades
Extremadura;2018;CIGARROS;61274251;unidades
Extremadura;2018;P. LIAR;113851;unidades
Extremadura;2018;P. PIPA;23835;unidades
Galicia;2018;CIGARRILLOS;125587069;unidades
Galicia;2018;CIGARROS;142880737;unidades
Galicia;2018;P. LIAR;272905;unidades
Galicia;2018;P. PIPA;23753;unidades
Madrid (Comunidad de);2018;CIGARRILLOS;285251875;unidades
Madrid (Comunidad de);2018;CIGARROS;176892723;unidades
Madrid (Comunidad de);2018;P. LIAR;630979;unidades
Madrid (Comunidad de);2018;P. PIPA;106018;unidades
Murcia (Región de);2018;CIGARRILLOS;77216043;unidades
Murcia (Región de);2018;CIGARROS;54057922;unidades
Murcia (Región de);2018;P. LIAR;163814;unidades
Murcia (Región de);2018;P. PIPA;27673;unidades
Navarra (Comunidad Foral de);2018;CIGARRILLOS;46469481;unidades
Navarra (Comunidad Foral de);2018;CIGARROS;47667073;unidades
Navarra (Comunidad Foral de);2018;P. LIAR;126612;unidades
Navarra (Comunidad Foral de);2018;P. PIPA;7952;unidades
País Vasco;2018;CIGARRILLOS;117312935;unidades
País Vasco;2018;CIGARROS;151900796;unidades
País Vasco;2018;P. LIAR;246471;unidades
País Vasco;2018;P. PIPA;20987;unidades
Rioja (La);2018;CIGARRILLOS;15943138;unidades
Rioja (La);2018;CIGARROS;25116285;unidades
Rioja (La);2018;P. LIAR;27165;unidades
Rioja (La);2018;P. PIPA;3206;unidades
Andalucía;2017;CIGARRILLOS;353765099;unidades
Andalucía;2017;CIGARROS;314046155;unidades
Andalucía;2017;P. LIAR;874441;unidades
Andalucía;2017;P. PIPA;238412;unidades
Aragón;2017;CIGARRILLOS;70773639;unidades
Aragón;2017;CIGARROS;88998661;unidades
Aragón;2017;P. LIAR;155511;unidades
Aragón;2017;P. PIPA;15213;unidades
Asturias (Principado de);2017;CIGARRILLOS;54144592;unidades
Asturias (Principado de);2017;CIGARROS;78830962;unidades
Asturias (Principado de);2017;P. LIAR;109373;unidades
Asturias (Principado de);2017;P. PIPA;8637;unidades
Balears (Illes);2017;CIGARRILLOS;89302842;unidades
Balears (Illes);2017;CIGARROS;52191531;unidades
Balears (Illes);2017;P. LIAR;301240;unidades
Balears (Illes);2017;P. PIPA;22554;unidades
Cantabria;2017;CIGARRILLOS;30688629;unidades
Cantabria;2017;CIGARROS;45632777;unidades
Cantabria;2017;P. LIAR;64098;unidades
Cantabria;2017;P. PIPA;4506;unidades
Castilla y León;2017;CIGARRILLOS;118163400;unidades
Castilla y León;2017;CIGARROS;161955768;unidades
Castilla y León;2017;P. LIAR;246326;unidades
Castilla y León;2017;P. PIPA;30443;unidades
Castilla-La Mancha;2017;CIGARRILLOS;101227177;unidades
Castilla-La Mancha;2017;CIGARROS;99880340;unidades
Castilla-La Mancha;2017;P. LIAR;224083;unidades
Castilla-La Mancha;2017;P. PIPA;37592;unidades
Cataluña;2017;CIGARRILLOS;415171238;unidades
Cataluña;2017;CIGARROS;353794795;unidades
